25,2,Worn Shortsword,0,2,1,0
35,2,Bent Staff,0,2,1,0
36,2,Worn Mace,0,2,1,0
37,2,Worn Axe,0,2,1,0
38,1,Recruit's Shirt,0,4,1,0
39,1,Recruit's Pants,0,4,0,0
40,1,Recruit's Boots,0,4,1,0
43,1,Squire's Boots,0,4,1,0
44,1,Squire's Pants,0,4,0,0
45,1,Squire's Shirt,0,4,1,0
47,1,Footpad's Shoes,0,4,1,0
48,1,Footpad's Pants,0,4,0,0
49,1,Footpad's Shirt,0,4,1,0
51,1,Neophyte's Boots,0,4,1,0
52,1,Neophyte's Pants,0,4,0,0
53,1,Neophyte's Shirt,0,4,1,0
55,1,Apprentice's Boots,0,4,1,0
56,1,Apprentice's Robe,0,4,0,0
57,1,Acolyte's Robe,0,4,0,0
59,1,Acolyte's Shoes,0,4,1,0
60,5,Layered Tunic,0,4,1,0
61,5,Dwarven Leather Pants,0,4,1,0
79,5,Dwarven Cloth Britches,0,4,1,0
80,5,Soft Fur-lined Shoes,0,4,1,0
85,5,Dirty Leather Vest,0,4,1,0
117,5,Tough Jerky,0,0,1,0
118,5,Minor Healing Potion,0,0,1,0
120,1,Thug Pants,0,4,0,0
121,1,Thug Boots,0,4,1,0
127,1,Trapper's Shirt,0,4,1,0
128,1,Deprecated Tauren Trapper's Pants,16,4,0,0
129,1,Rugged Trapper's Boots,0,4,1,0
139,1,Brawler's Pants,0,4,0,0
140,1,Brawler's Boots,0,4,1,0
147,1,Rugged Trapper's Pants,0,4,0,0
148,1,Rugged Trapper's Shirt,0,4,1,0
153,1,Primitive Kilt,0,4,0,0
154,1,Primitive Mantle,0,4,1,0
159,5,Refreshing Spring Water,0,0,1,0
182,1,Garrick's Head,2048,12,1,0
193,5,Tattered Cloth Vest,0,4,1,0
194,5,Tattered Cloth Pants,0,4,1,0
195,5,Tattered Cloth Boots,0,4,1,0
200,22,Thick Cloth Vest,0,4,1,0
201,22,Thick Cloth Pants,0,4,1,0
202,22,Thick Cloth Shoes,0,4,1,0
203,22,Thick Cloth Gloves,0,4,1,0
209,5,Dirty Leather Pants,0,4,1,0
210,5,Dirty Leather Boots,0,4,1,0
236,22,Cured Leather Armor,0,4,1,0
237,22,Cured Leather Pants,0,4,1,0
238,22,Cured Leather Boots,0,4,1,0
239,22,Cured Leather Gloves,0,4,1,0
285,22,Scalemail Vest,0,4,1,0
286,22,Scalemail Pants,0,4,1,0
287,22,Scalemail Boots,0,4,1,0
414,15,Dalaran Sharp,0,0,1,0
422,25,Dwarven Mild,0,0,1,0
537,1,Dull Frenzy Scale,0,15,0,0
555,10,Rough Vulture Feathers,0,15,0,0
556,1,Buzzard Beak,0,15,0,0
647,57,Destiny,0,2,4,0
710,14,Bracers of the People's Militia,0,4,1,0
711,5,Tattered Cloth Gloves,0,4,1,0
714,5,Dirty Leather Gloves,0,4,1,0
718,22,Scalemail Gloves,0,4,1,0
719,5,Rabbit Handler Gloves,0,4,1,0
720,28,Brawler Gloves,0,4,3,0
723,12,Goretusk Liver,0,7,1,0
724,15,Goretusk Liver Pie,0,0,1,0
725,1,Gnoll Paw,0,12,1,0
727,10,Notched Shortsword,0,2,2,5168
728,15,Recipe: Westfall Stew,64,9,1,0
729,10,Stringy Vulture Meat,0,7,1,0
730,11,Murloc Eye,0,7,1,0
731,12,Goretusk Snout,0,7,1,0
732,9,Okra,0,7,1,0
733,15,Westfall Stew,0,0,1,0
735,1,Rolf and Malakai's Medallions,0,12,1,0
737,1,Holy Spring Water,0,12,1,0
738,1,Sack of Barley,0,12,1,0
739,1,Sack of Corn,0,12,1,0
